,account_id,type,total_licenses,engagement_ratio,no_engaged_users
241,HPMXPKN3B8,Customer,706.0,0.3923512747875354,32
242,HQR6F7QNEZ,Customer,144.0,0.2638888888888889,11
243,HU97NG0APS,Customer,526.0,0.015209125475285171,1
244,HX2KBVSIGB,Customer,0.0,,262
245,I0HN3F9ZXQ,Customer,62.0,0.4032258064516129,3
246,I10KQSOSX4,Customer,2176.0,0.09512867647058823,10
247,I560TOHXWE,Customer,111.0,0.02702702702702703,1
248,I5HO9CY9PE,Customer,55.0,0.8545454545454545,5
249,I8F34GADKT,Customer,62.0,0.5,2
250,IAAKYTT3IM,Customer,111.0,0.23423423423423423,4
251,IE0RNUJJQ9,Customer,211.0,0.03317535545023697,2
252,IKR2OMRDE5,Customer,395.0,0.7518987341772152,35
253,IM458AX40D,Customer,1736.0,0.6699308755760369,106
254,IRY8XNY2X1,Customer,164.0,0.8658536585365854,15
255,IXZAREIYAZ,Customer,833.0,0.4309723889555822,20
256,IY4NRMQYZ6,Customer,101.0,0.6435643564356436,9
257,IYM90PKR1I,Customer,60.0,0.5,8
258,J35VLWOJTX,Customer,526.0,0.14068441064638784,7
259,J43D5IQVNB,Customer,1000338.0,0.000300898296375825,54
260,J4PNJY1O2R,Customer,2006.0,0.0847457627118644,11
261,J66CNOLJQ5,Customer,307.0,0.2671009771986971,9
262,J70E3P15AH,Customer,0.0,,20
263,JCNS6G298C,Customer,271.0,0.4280442804428044,22
264,JEDGFJDLOG,Customer,86.0,0.6046511627906976,3
265,JEGXEYEB90,Customer,119.0,0.24369747899159663,2
266,JG107R925D,Customer,112.0,0.10714285714285714,2
267,JHJXQKD8UR,Customer,70.0,0.4,1
268,JIXUB4IBHI,Customer,6015.0,0.010972568578553617,3
269,JJA26YFPMV,Customer,116.0,0.3706896551724138,1
270,JLZY1UU9YM,Customer,116.0,0.7241379310344828,6
271,JQY3ODSX4N,Customer,117.0,0.3418803418803419,4
272,JTGQ01TEE1,Customer,72.0,0.5833333333333334,3
273,JUTFVJ839A,Customer,1675.0,0.38328358208955227,28
274,JWV2QNRMTN,Customer,1064.0,0.06578947368421052,6
275,JZ99106AK3,Customer,128.0,1.3203125,31
276,JZC58CU47S,Customer,3.0,1.3333333333333333,1
277,JZP97BMZRR,Customer,745.0,0.3181208053691275,13
278,K43SAFYH1F,Customer,526.0,0.011406844106463879,2
279,K48OLDC08F,Customer,52.0,0.4423076923076923,2
280,K5LP9C5SO7,Customer,65.0,0.2153846153846154,2
281,K6RE4Q6QDY,Customer,501.0,0.2714570858283433,13
282,K9OM115BOI,Customer,212.0,0.12735849056603774,2
283,KBCBDPDXUJ,Customer,62.0,0.2903225806451613,1
284,KH5840ACUH,Customer,62.0,0.4032258064516129,4
285,KI72OALFWY,Customer,15.0,0.6,2
286,KK2ABKVBLP,Customer,46.0,0.6956521739130435,5
287,KLDF4HRA13,Customer,234.0,0.7735042735042735,10
288,KMGS6RV977,Customer,480.0,0.5729166666666666,36
289,KMU6U4PLLG,Customer,112.0,0.26785714285714285,6
290,KNL2LUHHS4,Customer,102.0,0.7352941176470589,8
291,KOTCKEH5SW,Customer,1026.0,0.06530214424951267,2
292,KPG3DP4FMP,Customer,891.0,0.5129068462401796,43
293,KTLL8SN5YZ,Customer,56.0,0.8035714285714286,2
294,KTLZKJ49YD,Customer,60.0,0.45,4
295,L00EZZF8S2,Customer,428.0,0.2780373831775701,4
296,L68NTK63N2,Customer,1062.0,0.24199623352165725,7
297,L6HFH4N6V3,Customer,839.0,0.300357568533969,71
298,L6P3FRB7EI,Customer,1638.0,0.4010989010989011,65
299,L7W8COF313,Customer,348.0,0.26436781609195403,16
300,L8HL88KZRU,Customer,1563.0,0.14459373000639794,12
301,L911ZSB8LV,Customer,1286.0,0.7356143079315708,30
302,L9GVBMQQ74,Customer,863.0,0.8099652375434531,82
303,LBORIQ8HKE,Customer,62.0,0.4032258064516129,1
304,LCG1J5EWFW,Customer,75.0,0.64,6
305,LDWQXKE0QC,Customer,200.0,0.38,8
306,LHYL2LD05N,Customer,112.0,0.22321428571428573,4
307,LNCC2ATRD8,Customer,63.0,0.30158730158730157,2
308,LOQC3XNCHK,Customer,1.0,10.0,1
309,LP81L51FLM,Customer,180.0,0.6333333333333333,9
310,LQ6EXNWZR0,Customer,225.0,0.6222222222222222,8
311,LXOUN91FY6,Customer,62.0,0.1774193548387097,4
312,LZSE99F77L,Customer,215.0,0.5488372093023256,8
313,M0L2LJK4Q5,Customer,30.0,0.6333333333333333,4
314,M1SAV9CNG8,Customer,453.0,0.2869757174392936,2
315,M2XIPRTT3N,Customer,0.0,,21
316,M5HGBO06FH,Customer,60.0,0.5666666666666667,10
317,M5V2WWG84D,Customer,102.0,0.7352941176470589,12
318,M6HZ72KXSJ,Customer,163.0,0.2392638036809816,10
319,M6MG87OI0E,Customer,1036.0,0.0009652509652509653,1
320,M87MHXOFKC,Customer,1263.0,0.24307205067300078,16
321,MBAAXA3BL1,Customer,520.0,0.03076923076923077,5
322,MF4NNKM95D,Customer,375.0,0.4026666666666667,8
